rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0002.jpg,0.8,0.8036,0.7572,0.75,1.0,7,6,False,True
2,frame_0291.jpg,116.4,0.7964,0.6568,1.0,0.84,8,8,False,True
3,frame_0074.jpg,29.6,0.7927,0.8104,0.625,1.0,8,5,False,True
4,frame_0030.jpg,12.0,0.7564,0.5877,0.875,1.0,7,7,False,True
5,frame_0276.jpg,110.4,0.7292,0.9124,0.75,0.24,9,6,False,True
6,frame_0130.jpg,52.0,0.727,0.8609,0.375,0.92,3,3,False,True
7,frame_0116.jpg,46.4,0.7111,0.6782,1.0,0.36,9,8,False,True
8,frame_0072.jpg,28.8,0.7098,0.7195,0.5,1.0,7,4,False,False
9,frame_0000.jpg,0.0,0.6966,0.6181,0.625,1.0,7,5,False,False
10,frame_0031.jpg,12.4,0.6919,0.6838,0.5,1.0,9,4,False,False
11,frame_0005.jpg,2.0,0.6905,0.606,0.625,1.0,7,5,False,False
12,frame_0033.jpg,13.2,0.6905,0.6809,0.5,1.0,7,4,False,False
13,frame_0318.jpg,127.2,0.6895,0.8331,0.75,0.24,7,6,False,True
14,frame_0377.jpg,150.8,0.6894,0.8058,0.875,0.12,10,7,False,True
15,frame_0328.jpg,131.2,0.6861,0.8152,0.875,0.08,11,7,False,True
16,frame_0007.jpg,2.8,0.6835,0.742,0.375,1.0,5,3,False,False
17,frame_0073.jpg,29.2,0.6758,0.7265,0.375,1.0,8,3,False,False
18,frame_0069.jpg,27.6,0.6755,0.651,0.5,1.0,6,4,False,True
19,frame_0114.jpg,45.6,0.6755,0.789,0.75,0.28,7,6,False,False
20,frame_0071.jpg,28.4,0.6739,0.6478,0.5,1.0,6,4,False,False
21,frame_0230.jpg,92.0,0.6654,0.8328,0.75,0.12,11,6,False,True
22,frame_0067.jpg,26.8,0.6648,0.6297,0.5,1.0,7,4,False,False
23,frame_0368.jpg,147.2,0.6607,0.7805,0.875,0.04,9,7,False,False
24,frame_0012.jpg,4.8,0.6558,0.6866,0.375,1.0,4,3,False,False
25,frame_0387.jpg,154.8,0.6556,0.7812,0.75,0.2,10,6,False,False
26,frame_0001.jpg,0.4,0.6546,0.6092,0.5,1.0,9,4,False,False
27,frame_0089.jpg,35.6,0.6539,0.6978,0.75,0.4,6,6,False,False
28,frame_0294.jpg,117.6,0.6474,0.7068,0.5,0.72,5,4,False,False
29,frame_0004.jpg,1.6,0.6472,0.6695,0.375,1.0,6,3,False,False
30,frame_0379.jpg,151.6,0.6463,0.7516,0.875,0.04,10,7,False,False
31,frame_0397.jpg,158.8,0.6431,0.9063,0.5,0.2,9,4,False,False
32,frame_0021.jpg,8.4,0.6419,0.5088,0.625,1.0,6,5,False,False
33,frame_0079.jpg,31.6,0.6371,0.5791,0.625,0.8,8,5,False,False
34,frame_0292.jpg,116.8,0.6359,0.8018,0.25,0.8,9,2,False,False
35,frame_0274.jpg,109.6,0.6322,0.8255,0.625,0.16,7,5,False,False
36,frame_0080.jpg,32.0,0.6262,0.6484,0.5,0.76,7,4,False,False
37,frame_0077.jpg,30.8,0.6258,0.6745,0.375,0.88,7,3,False,False
38,frame_0384.jpg,153.6,0.6244,0.8099,0.625,0.16,7,5,False,False
39,frame_0013.jpg,5.2,0.6207,0.6164,0.375,1.0,4,3,False,False
40,frame_0003.jpg,1.2,0.6195,0.539,0.5,1.0,8,4,False,False
41,frame_0018.jpg,7.2,0.6193,0.6135,0.375,1.0,5,3,False,False
42,frame_0016.jpg,6.4,0.6184,0.5369,0.5,1.0,6,4,False,False
43,frame_0284.jpg,113.6,0.6153,0.7817,0.375,0.56,5,3,False,False
44,frame_0378.jpg,151.2,0.613,0.744,0.75,0.08,10,6,False,False
45,frame_0020.jpg,8.0,0.6098,0.5945,0.375,1.0,3,3,False,False
46,frame_0288.jpg,115.2,0.6074,0.7018,0.375,0.72,7,3,False,False
47,frame_0278.jpg,111.2,0.6068,0.6356,0.75,0.32,8,6,False,False
48,frame_0321.jpg,128.4,0.6066,0.7582,0.625,0.2,8,5,False,False
49,frame_0386.jpg,154.4,0.6058,0.8155,0.5,0.24,10,4,False,False
50,frame_0186.jpg,74.4,0.6047,0.6683,0.875,0.04,10,7,False,False
51,frame_0295.jpg,118.0,0.6043,0.6366,0.5,0.68,6,4,False,False
52,frame_0029.jpg,11.6,0.603,0.581,0.375,1.0,4,3,False,False
53,frame_0231.jpg,92.4,0.5998,0.6107,0.875,0.16,9,7,False,False
54,frame_0293.jpg,117.2,0.5995,0.6699,0.375,0.76,5,3,False,False
55,frame_0287.jpg,114.8,0.5988,0.6255,0.5,0.68,7,4,False,False
56,frame_0075.jpg,30.0,0.5967,0.5843,0.375,0.96,7,3,False,False
57,frame_0396.jpg,158.4,0.5949,0.7507,0.625,0.16,10,5,False,False
58,frame_0301.jpg,120.4,0.5943,0.7876,0.375,0.44,8,3,False,False
59,frame_0167.jpg,66.8,0.5933,0.7216,0.375,0.6,6,3,False,False
60,frame_0307.jpg,122.8,0.5883,0.7216,0.625,0.2,10,5,False,False
61,frame_0277.jpg,110.8,0.5842,0.6814,0.625,0.28,8,5,False,False
62,frame_0070.jpg,28.0,0.5835,0.6919,0.125,1.0,7,1,False,False
63,frame_0011.jpg,4.4,0.582,0.6891,0.125,1.0,3,1,False,False
64,frame_0201.jpg,80.4,0.5816,0.6392,0.5,0.56,4,4,False,False
65,frame_0129.jpg,51.6,0.5785,0.505,0.5,0.88,6,4,False,False
66,frame_0125.jpg,50.0,0.5776,0.6422,0.375,0.72,5,3,False,False
67,frame_0081.jpg,32.4,0.576,0.4891,0.625,0.72,6,5,False,False
68,frame_0376.jpg,150.4,0.5753,0.8616,0.375,0.16,7,3,False,False
69,frame_0374.jpg,149.6,0.575,0.695,0.625,0.2,9,5,False,False
70,frame_0332.jpg,132.8,0.5746,0.7582,0.625,0.04,8,5,False,False
71,frame_0177.jpg,70.8,0.5698,0.6846,0.625,0.2,8,5,False,False
72,frame_0388.jpg,155.2,0.5696,0.7003,0.625,0.16,11,5,False,False
73,frame_0009.jpg,3.6,0.5675,0.5849,0.25,1.0,3,2,False,False
74,frame_0317.jpg,126.8,0.5673,0.7545,0.5,0.2,8,4,False,False
75,frame_0126.jpg,50.4,0.5651,0.6761,0.25,0.76,8,2,False,False
76,frame_0105.jpg,42.0,0.5648,0.7976,0.5,0.08,6,4,False,False
77,frame_0006.jpg,2.4,0.5645,0.504,0.375,1.0,5,3,False,False
78,frame_0275.jpg,110.0,0.564,0.748,0.5,0.2,7,4,False,False
79,frame_0188.jpg,75.2,0.5622,0.6585,0.75,0.04,10,6,False,False
80,frame_0299.jpg,119.6,0.5598,0.6116,0.5,0.52,7,4,False,False
81,frame_0389.jpg,155.6,0.5564,0.7647,0.5,0.12,9,4,False,False
82,frame_0095.jpg,38.0,0.5552,0.7463,0.5,0.16,6,4,False,False
83,frame_0200.jpg,80.0,0.5523,0.7465,0.25,0.52,2,2,False,False
84,frame_0115.jpg,46.0,0.5519,0.6008,0.625,0.32,7,5,False,False
85,frame_0367.jpg,146.8,0.5518,0.7716,0.5,0.08,8,4,False,False
86,frame_0032.jpg,12.8,0.5507,0.4763,0.375,1.0,6,3,False,False
87,frame_0375.jpg,150.0,0.5493,0.7186,0.5,0.2,8,4,False,False
88,frame_0076.jpg,30.4,0.5485,0.5041,0.375,0.92,8,3,False,False
89,frame_0176.jpg,70.4,0.5479,0.6247,0.625,0.24,7,5,False,False
90,frame_0086.jpg,34.4,0.5468,0.6606,0.375,0.52,4,3,False,False
91,frame_0193.jpg,77.2,0.5453,0.6195,0.625,0.24,7,5,False,False
92,frame_0300.jpg,120.0,0.5443,0.6716,0.375,0.48,8,3,False,False
93,frame_0170.jpg,68.0,0.5435,0.67,0.375,0.48,6,3,False,False
94,frame_0078.jpg,31.2,0.5421,0.5232,0.375,0.84,6,3,False,False
95,frame_0169.jpg,67.6,0.5405,0.723,0.25,0.52,8,2,False,False
96,frame_0014.jpg,5.6,0.5359,0.5218,0.25,1.0,5,2,False,False
97,frame_0398.jpg,159.2,0.5357,0.6004,0.625,0.24,10,5,False,False
98,frame_0026.jpg,10.4,0.5353,0.4455,0.375,1.0,3,3,False,False
99,frame_0210.jpg,84.0,0.5349,0.6478,0.25,0.68,4,2,False,False
100,frame_0209.jpg,83.6,0.5328,0.7027,0.125,0.72,3,1,False,False
101,frame_0302.jpg,120.8,0.5319,0.6789,0.375,0.4,7,3,False,False
102,frame_0298.jpg,119.2,0.5302,0.6114,0.375,0.56,6,3,False,False
103,frame_0128.jpg,51.2,0.5296,0.4982,0.375,0.84,6,3,False,False
104,frame_0304.jpg,121.6,0.5221,0.6912,0.375,0.32,7,3,False,False
105,frame_0132.jpg,52.8,0.5219,0.4188,0.375,1.0,5,3,False,False
106,frame_0395.jpg,158.0,0.5208,0.6186,0.625,0.12,8,5,False,False
107,frame_0096.jpg,38.4,0.52,0.6169,0.625,0.12,7,5,False,False
108,frame_0285.jpg,114.0,0.52,0.65,0.25,0.6,5,2,False,False
109,frame_0124.jpg,49.6,0.5187,0.4654,0.5,0.68,7,4,False,False
110,frame_0296.jpg,118.4,0.5183,0.5556,0.375,0.64,4,3,False,False
111,frame_0327.jpg,130.8,0.5179,0.5698,0.75,0.04,9,6,False,False
112,frame_0286.jpg,114.4,0.5165,0.627,0.25,0.64,8,2,False,False
113,frame_0127.jpg,50.8,0.5162,0.5623,0.25,0.8,6,2,False,False
114,frame_0305.jpg,122.0,0.5161,0.6201,0.5,0.28,5,4,False,False
115,frame_0319.jpg,127.6,0.5156,0.6941,0.375,0.28,7,3,False,False
116,frame_0290.jpg,116.0,0.5132,0.4814,0.375,0.8,7,3,False,False
117,frame_0206.jpg,82.4,0.5128,0.4965,0.375,0.76,4,3,False,False
118,frame_0175.jpg,70.0,0.5099,0.6827,0.375,0.28,7,3,False,False
119,frame_0008.jpg,3.2,0.5097,0.5444,0.125,1.0,4,1,False,False
120,frame_0120.jpg,48.0,0.508,0.658,0.25,0.52,5,2,False,False
121,frame_0173.jpg,69.2,0.5062,0.5684,0.5,0.36,6,4,False,False
